Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	JANP	FEBP	MARP	APRP	MAYP	JUNP	JULP	AUGP	SEPP	OCTP	NOVP	DECP
1955	2.4	2.7	4.1	7	10.1	12.9	12.4	13.4	11.2	9.9	3.5	3.3	120.5	24.1	74.9	77.5	69.2	87.1	98	86.5	138.4	69.7	104.8	160.8
1956	2.2	4	5.6	5.7	9.8	13.8	13.6	13.3	12.8	8.9	4.5	4.1	64.4	122.9	73.9	88.9	83.9	101.3	70.8	97.2	73.3	122.6	104.8	155.8
1957	3.7	4.5	5.7	6.8	8.8	12.9	14.8	14.2	12.4	9.2	4.9	3.7	82.6	105.4	103.7	54.4	128.3	49.2	76.1	81	113.7	192.5	91.2	96.4
1958	3.5	1.1	5.2	6.9	8.4	13.3	13.5	14.1	12.5	11.1	5.5	2.6	102.9	52.5	90.4	64.9	81.8	77.4	94.5	65.7	132.5	129.3	74.2	79.6
1959	4.4	0.1	2.6	6.3	9.7	12.7	15.1	15	12.6	11.8	4	2.8	110.1	70.5	58.8	62.2	105.6	65.3	68.7	74	68.7	58.5	140.9	96.8
1960	3	1.8	2.9	5.5	11.3	14.7	13.4	14.7	12.9	9.5	6.3	3.7	107.3	104.1	76.9	90	40.4	52.3	95.2	91.7	95.2	109.7	170.7	61.6
1961	2.7	5.8	7.4	8.5	9.7	12.9	13.6	13.9	13.6	9.7	5.3	1.8	115.7	92.8	42.5	96.7	45.9	51	81.7	104.5	102.3	142.3	78.8	100.2
1962	3.6	3.7	1.9	6.5	9	12.3	13.2	13	11.4	9.7	4.7	2.2	148.6	70	50.5	69.1	72.6	41.5	62.5	136.8	119.8	53.6	77.1	102.4
1963	-1.8	-1.1	5	7.2	9.1	13.3	13.6	12.9	11.8	9.7	6.6	2.4	32.2	34.1	118	79.4	74.9	84.8	61.9	109.8	86.7	90.8	164.3	38.7
1964	3.3	3.7	3.6	7.6	11.5	12.3	14.3	13.9	12.7	8.1	6.5	2.7	43.5	37.3	79.3	74.8	73	75.6	66.4	84.2	72.7	78.7	84.7	125.3
1965	2.4	2.7	4.1	7	10.1	12.9	12.4	13.4	11.2	9.9	3.5	3.3	120.5	24.1	74.9	77.5	69.2	87.1	98	86.5	138.4	69.7	104.8	160.8
1966	2.2	4	5.6	5.7	9.8	13.8	13.6	13.3	12.8	8.9	4.5	4.1	64.4	122.9	73.9	88.9	83.9	101.3	70.8	97.2	73.3	122.6	104.8	155.8
1967	3.7	4.5	5.7	6.8	8.8	12.9	14.8	14.2	12.4	9.2	4.9	3.7	82.6	105.4	103.7	54.4	128.3	49.2	76.1	81	113.7	192.5	91.2	96.4
1968	3.5	1.1	5.2	6.9	8.4	13.3	13.5	14.1	12.5	11.1	5.5	2.6	102.9	52.5	90.4	64.9	81.8	77.4	94.5	65.7	132.5	129.3	74.2	79.6
